timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1657205915606,9,/Webtours/,200,OK,UC_03 3-38,text,true,,664,798,1,1,http://localhost:1080/Webtours/,9,0,7
1657205915622,29,/cgi-bin/welcome.pl?signOff=true,200,OK,UC_03 3-38,text,true,,1025,804,1,1,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,28,0,0
1657205915652,75,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-38,text,true,,1757,845,1,1,http://localhost:1080/cgi-bin/nav.pl?in=home,74,0,0
1657205915728,45,/WebTours/home.html,200,OK,UC_03 3-38,text,true,,1659,841,1,1,http://localhost:1080/WebTours/home.html,45,0,0
1657205915774,1,/Webtours/header.html,200,OK,UC_03 3-38,text,true,,1007,821,1,1,http://localhost:1080/Webtours/header.html,1,0,0
1657205915585,190,Start_Page,200,"Number of samples in transaction : 5, number of failing samples : 0",UC_03 3-38,,true,,6112,4109,1,1,null,157,0,7
1657205919277,31,/cgi-bin/login.pl,200,OK,UC_03 3-38,text,true,,925,1064,1,1,http://localhost:1080/cgi-bin/login.pl,29,0,0
1657205919346,38,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_03 3-38,text,true,,1749,981,1,1,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,36,0,0
1657205919389,71,/cgi-bin/login.pl?intro=true,200,OK,UC_03 3-38,text,true,,1165,976,1,1,http://localhost:1080/cgi-bin/login.pl?intro=true,70,0,0
1657205915776,3685,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-38,,true,,3839,3021,1,1,null,135,0,0
1657205922423,1,/Webtours/,200,OK,UC_03 3-37,text,true,,664,798,2,2,http://localhost:1080/Webtours/,1,0,0
1657205922431,29,/cgi-bin/welcome.pl?signOff=true,200,OK,UC_03 3-37,text,true,,1025,804,2,2,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,28,0,0
1657205922461,77,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-37,text,true,,1751,845,2,2,http://localhost:1080/cgi-bin/nav.pl?in=home,76,0,0
1657205922561,25,/WebTours/home.html,200,OK,UC_03 3-37,text,true,,1659,841,2,2,http://localhost:1080/WebTours/home.html,25,0,0
1657205922586,1,/Webtours/header.html,200,OK,UC_03 3-37,text,true,,1007,821,2,2,http://localhost:1080/Webtours/header.html,1,0,0
1657205922422,166,Start_Page,200,"Number of samples in transaction : 5, number of failing samples : 0",UC_03 3-37,,true,,6106,4109,2,2,null,131,0,0
1657205922632,29,/cgi-bin/welcome.pl?signOff=1,200,OK,UC_03 3-38,text,true,,1025,1018,2,2,http://localhost:1080/cgi-bin/welcome.pl?signOff=1,28,0,0
1657205922673,64,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-38,text,true,,1751,799,2,2,http://localhost:1080/cgi-bin/nav.pl?in=home,63,0,0
1657205922756,28,/WebTours/home.html,304,Not Modified,UC_03 3-38,,true,,193,306,2,2,http://localhost:1080/WebTours/home.html,0,0,0
1657205919461,3323,Logout,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-38,,true,,2969,2123,2,2,null,91,0,0
1657205915585,7199,UC_03,200,"Number of samples in transaction : 13, number of failing samples : 0",UC_03 3-38,,true,,12920,9253,2,2,null,383,0,7
1657205925641,36,/cgi-bin/login.pl,200,OK,UC_03 3-37,text,true,,925,1058,2,2,http://localhost:1080/cgi-bin/login.pl,34,0,0
1657205925693,63,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_03 3-37,text,true,,1749,981,2,2,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,62,0,0
1657205925782,51,/cgi-bin/login.pl?intro=true,200,OK,UC_03 3-37,text,true,,1165,976,2,2,http://localhost:1080/cgi-bin/login.pl?intro=true,50,0,0
1657205922588,3246,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-37,,true,,3839,3015,2,2,null,146,0,0
1657205929264,2,/Webtours/,200,OK,UC_03 3-36,text,true,,664,798,3,3,http://localhost:1080/Webtours/,2,0,1
1657205929280,31,/cgi-bin/welcome.pl?signOff=true,200,OK,UC_03 3-36,text,true,,1025,804,3,3,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,29,0,0
1657205929312,75,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-36,text,true,,1757,845,3,3,http://localhost:1080/cgi-bin/nav.pl?in=home,74,0,0
1657205929409,26,/WebTours/home.html,200,OK,UC_03 3-36,text,true,,1659,841,3,3,http://localhost:1080/WebTours/home.html,26,0,0
1657205929435,1,/Webtours/header.html,200,OK,UC_03 3-36,text,true,,1007,821,3,3,http://localhost:1080/Webtours/header.html,1,0,0
1657205929264,172,Start_Page,200,"Number of samples in transaction : 5, number of failing samples : 0",UC_03 3-36,,true,,6112,4109,3,3,null,132,0,1
1657205929683,31,/cgi-bin/welcome.pl?signOff=1,200,OK,UC_03 3-37,text,true,,1025,1018,3,3,http://localhost:1080/cgi-bin/welcome.pl?signOff=1,30,0,0
1657205929722,70,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-37,text,true,,1757,799,3,3,http://localhost:1080/cgi-bin/nav.pl?in=home,68,0,0
1657205929810,29,/WebTours/home.html,304,Not Modified,UC_03 3-37,,true,,193,306,3,3,http://localhost:1080/WebTours/home.html,0,0,0
1657205925834,4005,Logout,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-37,,true,,2975,2123,3,3,null,98,0,0
1657205922422,7417,UC_03,200,"Number of samples in transaction : 13, number of failing samples : 0",UC_03 3-37,,true,,12920,9247,3,3,null,375,0,0
1657205932958,32,/cgi-bin/login.pl,200,OK,UC_03 3-36,text,true,,925,1065,3,3,http://localhost:1080/cgi-bin/login.pl,31,0,0
1657205933049,32,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_03 3-36,text,true,,1749,981,3,3,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,31,0,0
1657205933108,52,/cgi-bin/login.pl?intro=true,200,OK,UC_03 3-36,text,true,,1165,976,3,3,http://localhost:1080/cgi-bin/login.pl?intro=true,51,0,0
1657205929436,3724,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-36,,true,,3839,3022,3,3,null,113,0,0
1657205936107,2,/Webtours/,200,OK,UC_03 3-35,text,true,,664,798,4,4,http://localhost:1080/Webtours/,2,0,1
1657205936122,32,/cgi-bin/welcome.pl?signOff=true,200,OK,UC_03 3-35,text,true,,1025,804,4,4,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,31,0,0
1657205936155,77,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-35,text,true,,1755,845,4,4,http://localhost:1080/cgi-bin/nav.pl?in=home,76,0,0
1657205936239,41,/WebTours/home.html,200,OK,UC_03 3-35,text,true,,1659,841,4,4,http://localhost:1080/WebTours/home.html,41,0,0
1657205936281,0,/Webtours/header.html,200,OK,UC_03 3-35,text,true,,1007,821,4,4,http://localhost:1080/Webtours/header.html,0,0,0
1657205936106,176,Start_Page,200,"Number of samples in transaction : 5, number of failing samples : 0",UC_03 3-35,,true,,6110,4109,4,4,null,150,0,1
1657205936943,28,/cgi-bin/welcome.pl?signOff=1,200,OK,UC_03 3-36,text,true,,1025,1018,4,4,http://localhost:1080/cgi-bin/welcome.pl?signOff=1,27,0,0
1657205936974,73,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-36,text,true,,1755,799,4,4,http://localhost:1080/cgi-bin/nav.pl?in=home,72,0,0
1657205937055,39,/WebTours/home.html,304,Not Modified,UC_03 3-36,,true,,193,306,4,4,http://localhost:1080/WebTours/home.html,0,0,0
1657205933160,3935,Logout,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-36,,true,,2973,2123,4,4,null,99,0,0
1657205929264,7831,UC_03,200,"Number of samples in transaction : 13, number of failing samples : 0",UC_03 3-36,,true,,12924,9254,4,4,null,344,0,1
1657205939843,31,/cgi-bin/login.pl,200,OK,UC_03 3-35,text,true,,925,1063,4,4,http://localhost:1080/cgi-bin/login.pl,30,0,0
1657205939946,32,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_03 3-35,text,true,,1749,981,4,4,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,31,0,0
1657205939996,62,/cgi-bin/login.pl?intro=true,200,OK,UC_03 3-35,text,true,,1165,976,4,4,http://localhost:1080/cgi-bin/login.pl?intro=true,61,0,0
1657205936282,3777,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-35,,true,,3839,3020,4,4,null,122,0,0
1657205942949,2,/Webtours/,200,OK,UC_03 3-34,text,true,,664,798,5,5,http://localhost:1080/Webtours/,2,0,1
1657205942958,34,/cgi-bin/welcome.pl?signOff=true,200,OK,UC_03 3-34,text,true,,1025,804,5,5,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,33,0,0
1657205942993,77,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-34,text,true,,1756,845,5,5,http://localhost:1080/cgi-bin/nav.pl?in=home,76,0,0
1657205943090,27,/WebTours/home.html,200,OK,UC_03 3-34,text,true,,1659,841,5,5,http://localhost:1080/WebTours/home.html,27,0,0
1657205943117,1,/Webtours/header.html,200,OK,UC_03 3-34,text,true,,1007,821,5,5,http://localhost:1080/Webtours/header.html,1,0,0
1657205942949,169,Start_Page,200,"Number of samples in transaction : 5, number of failing samples : 0",UC_03 3-34,,true,,6111,4109,5,5,null,139,0,1
1657205943672,29,/cgi-bin/welcome.pl?signOff=1,200,OK,UC_03 3-35,text,true,,1025,1018,5,5,http://localhost:1080/cgi-bin/welcome.pl?signOff=1,28,0,0
1657205943713,64,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-35,text,true,,1753,799,5,5,http://localhost:1080/cgi-bin/nav.pl?in=home,63,0,0
1657205943800,24,/WebTours/home.html,304,Not Modified,UC_03 3-35,,true,,193,306,5,5,http://localhost:1080/WebTours/home.html,0,0,0
1657205940059,3765,Logout,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-35,,true,,2971,2123,5,5,null,91,0,0
1657205936106,7719,UC_03,200,"Number of samples in transaction : 13, number of failing samples : 0",UC_03 3-35,,true,,12920,9252,5,5,null,363,0,1
